학년군,교과,영역,"핵심
아이디어",내용요소 (지식/이해만),성취기준 코드,성취기준,성취수준(A),성취수준(B),성취수준(C),해설
3~4,체육,스포츠,,,[4체02-06],전략형 스포츠에 적합한 기본 움직임 기술을 파악하고 시도한다.,전략형 스포츠에 적합한 여러 가지 기본 움직임 기술을 구체적으로 파악하고 다양한 게임 상황에서 기본적인 전략을 세워 시도할 수 있다.,전략형 스포츠에 적합한 여러 가지 기본 움직임 기술을 대략적으로 파악하고 게임 상황에서 시도할 수 있다.,전략형 스포츠에 적합한 일부 기본 움직임 기술을 대략적으로 파악하고 게임 상황에서 부분적으로 시도할 수 있다.,"[4체02-06]은 전략형 스포츠 유형에 적합한 움직임 기술을 탐색하고 수행하기 위해 설정하였다. 움직임 기술과 전략에 따라 승패가 결정되는 전략형 스포츠 활동의 다양한 기능과 관련된 움직임 기술의 효과적 수행 방법(공던지기와 잡기, 공몰기, 공차기와 멈추기, 공치기와 받기, 라켓으로 치기 등)을 익히고, 기본적인 전략을 세워 간단한 게임 상황에서 시도하도록 한다."
3~4,체육,스포츠,,,[4체02-07],생태형 스포츠에 적합한 기본 움직임 기술을 파악하고 시도한다.,생태형 스포츠에 적합한 여러 가지 기본 움직임 기술을 구체적으로 파악하고 다양한 활동 상황에서 시도할 수 있다.,생태형 스포츠에 적합한 여러 가지 기본 움직임 기술을 대략적으로 파악하고 활동 상황에서 시도할 수 있다.,생태형 스포츠에 적합한 일부 기본 움직임 기술을 대략적으로 파악하고 활동 상황에서 부분적으로 시도할 수 있다.,"[4체02-07]은 생태형 스포츠 유형에 적합한 움직임 기술을 탐색하고 수행하기 위해 설정하였다. 생활 주변과 자연환경에서 이루어지는 다양한 생태형 스포츠 활동과 관련된 움직임 기술의 수행 방법(균형 잡고 이동하기, 타고 버티기, 잡고 오르기 등)을 익히고, 간단한 활동 상황에서 안전하게 시도하도록 한다."
3~4,체육,스포츠,,,[4체02-08],움직임 기술 수행에 자신감을 갖고 적극적으로 시도한다.,움직임 기술 수행에 항상 자신감을 갖고 다양한 활동 상황에서 적극적으로 시도할 수 있다.,움직임 기술 수행에 자신감을 갖고 활동 상황에서 시도할 수 있다.,움직임 기술 수행에 자신감을 갖고자 노력하며 활동 상황에서 부분적으로 시도할 수 있다.,"[4체02-08]은 기본 움직임 기술의 지속적인 시도를 통해 움직임 기술 수행에 대한 자신감을 기르기 위해 설정하였다. 기본 움직임 기술을 체계적으로 숙달하고, 간단한 규칙을 적용한 활동 상황에서 적극적으로 시도하며 움직임 기술 수행에 대한 자신감을 갖도록 한다."
3~4,체육,스포츠,,,[4체02-09],게임 활동에 최선을 다하고 규칙을 지킨다.,다양한 게임 활동에서 최선을 다하고 합의된 규칙을 일관되게 지키며 게임 활동에 참여할 수 있다.,일부 게임 활동에서 최선을 다하고 합의된 규칙을 지키며 게임 활동에 참여할 수 있다.,일부 게임 활동에 열심히 참여하고 합의된 규칙을 부분적으로 지킬 수 있다.,"[4체02-09]는 게임 활동을 수행하며 정해진 규칙을 지키고 최선을 다하는 태도를 기르기 위해 설정하였다. 다양한 유형의 스포츠 활동에 임하는 마음가짐, 구성원에 대한 태도, 규칙 준수의 필요성, 최선의 가치 등을 실제 활동 과정에서 느끼고 실천하도록 한다."
3~4,체육,스포츠,,,[4체02-10],다양한 스포츠 환경에 개방적인 태도를 갖고 적극적이고 안전하게 스포츠 활동에 참여한다.,"다양한 스포츠 환경에 개방적인 태도를 갖고 이를 적극적으로 실천할 수 있으며, 여러 가지 스포츠 활동에 안전하게 참여할 수 있다.","일부 스포츠 환경에 개방적인 태도를 갖고 이를 실천할 수 있으며, 스포츠 활동에 안전하게 참여할 수 있다.","일부 스포츠 환경에 개방적인 태도를 갖고 이를 실천하기 위해 노력하며, 스포츠 활동에 부분적으로 안전하게 참여할 수 있다.","[4체02-10]은 스포츠 활동을 즐길 수 있는 환경에 개방적인 태도를 갖고 적극적이고 안전하게 활동하는 태도를 기르기 위해 설정하였다. 가정, 학교, 지역사회 체육 시설, 자연환경 등 다양하고 도전적인 스포츠 환경을 적극적으로 수용하고 활용하되, 안전 수칙을 숙지하여 안전사고를 예방하는 태도를 실천하도록 한다."
3~4,체육,표현,"⋅표현 활동은 인간이 신체 움직임에 생각과 감정을 담아 심미적으로 표현하는 과정에서 창의적인 삶의 태도를 형성하고, 예술적 신체활동 문화를 향유할 수 있도록 한다.
⋅표현 활동은 기본 움직임에 표현 원리가 적용되어 다양한 유형으로 구현되며, 구성 및 창작의 과정을 통해 발달한다.
⋅인간은 다양한 표현 활동을 체험함으로써 움직임의 심미적 가치를 내면화하며 자유롭고 주체적으로 사는 방법을 터득한다.",,[4체03-01],표현 활동의 의미와 기본 움직임 기술과의 관계를 파악한다.,"표현 활동의 의미를 명확하게 알고, 표현과 기본 움직임 기술과의 관계를 예를 들어 구체적으로 설명할 수 있다.","표현 활동의 의미를 대략적으로 알고, 표현과 기본 움직임 기술과의 관계를 예를 들어 설명할 수 있다.","표현 활동의 의미를 대략적으로 알고, 표현과 기본 움직임 기술과의 관계를 일부 제시할 수 있다.","[4체03-01]은 표현 활동의 의미, 표현 활동과 기본 움직임 기술과의 관계를 이해하기 위해 설정하였다. 표현 활동에서의 움직임 기술과 운동 및 스포츠 영역에서의 움직임 기술의 차이를 이해함으로써 표현 활동에서 움직임 기술의 창의적이고 심미적인 특성을 이해하도록 한다."
3~4,체육,표현,,,[4체03-02],움직임 요소에 따른 기본 움직임 기술의 표현 방법을 파악하고 시도한다.,"움직임 요소에 따른 기본 움직임 기술의 다양한 표현 방법을 명확하게 알고, 여러 가지 상황에서 아름답게 표현할 수 있다.","움직임 요소에 따른 기본 움직임 기술의 다양한 표현 방법을 대략적으로 알고, 여러 가지 상황에서 표현할 수 있다.","움직임 요소에 따른 기본 움직임 기술의 표현 방법 중 일부를 대략적으로 알고, 주어진 상황에서 부분적으로 표현할 수 있다.","[4체03-02]는 움직임 요소에 따른 다양한 기본 움직임 기술을 학습함으로써 표현 활동의 기본 수행 능력을 기르기 위해 설정하였다. 이동 움직임, 비이동 움직임, 조작 움직임 기술을 체험하되 신체, 노력, 공간, 관계 등 움직임 요소의 변화에 따라 기본 움직임 기술을 창의적이고 심미적으로 표현하도록 한다."
3~4,체육,표현,,,[4체03-03],기본 움직임 기술을 활용하여 사물이나 자연을 모방하여 표현한다.,다양한 기본 움직임 기술을 종합적으로 활용하여 사물이나 자연의 여러 가지 모양 또는 움직임을 모방해 아름답게 표현할 수 있다.,일부 기본 움직임 기술을 활용하여 사물이나 자연의 모양 또는 움직임을 모방해 표현할 수 있다.,일부 기본 움직임 기술을 부분적으로 활용하여 사물이나 자연의 모양 또는 움직임을 모방해 표현할 수 있다.,"[4체03-03]은 기본 움직임 기술을 활용한 모방 표현 능력을 기르기 위해 설정하였다. 기본 움직임 기술을 활용하여 사물, 인물, 자연 현상 등의 모양과 움직임을 모방하여 표현하는 방법을 탐색하고 그 특징을 살려 표현하도록 한다."
3~4,체육,표현,,,[4체03-04],기본 움직임 기술을 활용하여 느낌이나 생각을 표현한다.,여러 기본 움직임 기술을 활용하여 자신의 느낌이나 생각을 창의적으로 표현할 수 있다.,일부 기본 움직임 기술을 활용하여 자신의 느낌이나 생각을 표현할 수 있다.,일부 기본 움직임 기술을 활용하여 자신의 느낌이나 생각을 부분적으로 표현할 수 있다.,[4체03-04]는 기본 움직임 기술을 활용한 추상 표현 능력을 기르기 위해 설정하였다. 기본 움직임 기술을 활용하여 느낌과 생각 등을 동작으로 표현하는 방법을 탐색하고 창의적으로 표현하도록 한다.
3~4,체육,표현,,,[4체03-05],기본 움직임 기술을 리듬에 맞춰 표현한다.,"리듬에 맞춰 표현하는 여러 가지 방법을 구체적으로 탐색하고, 다양한 기본 움직임 기술을 활용하여 리듬감을 살려 표현할 수 있다.","리듬에 맞춰 표현하는 여러 가지 방법을 대략적으로 탐색하고, 일부 기본 움직임 기술을 활용하여 리듬감을 살려 표현할 수 있다.","리듬에 맞춰 표현하는 방법을 대략적으로 탐색하고, 일부 기본 움직임 기술을 부분적으로 활용하여 리듬감을 표현할 수 있다.","[4체03-05]는 기본 움직임 기술을 활용한 리듬 표현 능력을 기르기 위해 설정하였다. 기본 움직임 기술을 활용하여 박자, 강약, 빠르기, 패턴에 맞춰 표현하는 방법을 탐색하고 리듬감을 살려 표현하도록 한다."
3~4,체육,표현,,,[4체03-06],기본 움직임 기술을 도구를 활용하여 표현한다.,"도구를 활용하여 표현하는 여러 가지 방법을 구체적으로 탐색하고, 다양한 기본 움직임 기술과 연결하여 아름답게 표현할 수 있다.","도구를 활용하여 표현하는 여러 가지 방법을 대략적으로 탐색하고, 일부 기본 움직임 기술과 연결하여 아름답게 표현할 수 있다.","도구를 활용하여 표현하는 방법을 대략적으로 탐색하고, 일부 기본 움직임 기술을 부분적으로 연결하여 표현할 수 있다.","[4체03-06]은 기본 움직임 기술을 활용한 도구 표현 능력을 기르기 위해 설정하였다. 기본 움직임 기술을 활용하여 줄, 공, 천, 훌라후프 등 도구의 특성을 활용한 표현 방법을 탐색하고 도구의 조작과 움직임을 연결하여 표현하도록 한다."
3~4,체육,표현,,,[4체03-07],움직임의 심미적 표현에 대한 호기심과 감수성을 나타낸다.,다양한 기본 움직임 기술로 아름답게 표현하는 여러 가지 활동에 깊은 관심을 갖고 감수성을 적극적으로 나타낼 수 있다.,다양한 기본 움직임 기술로 아름답게 표현하는 일부 활동에 관심을 갖고 감수성을 나타낼 수 있다.,기본 움직임 기술로 아름답게 표현하는 일부 활동에 부분적으로 관심을 갖고 감수성을 나타낼 수 있다.,[4체03-07]은 움직임을 심미적으로 표현하는 것에 대한 호기심과 감수성을 갖도록 설정하였다. 기본 움직임 기술을 아름답게 표현하며 움직임을 심미적으로 표현하는 다양한 자극에 관심을 갖고 운동이나 스포츠 기술과는 다른 감성을 느낄 수 있도록 한다.
3~4,음악,연주,"⋅음악은 고유한 방식과 원리에 따라 인간의 느낌, 생각, 경험을 다양한 소리의 어울림으로 표현한 것이다.
⋅개인적 혹은 협력적 음악 연주는 인간의 감수성과 사회⋅문화적 배경에 따라 다양한 행위 과정으로 나타난다.
⋅인간은 생활 속에서 다양한 음악 매체와 표현 방법을 활용하여 함께 경험하며 소통한다.",⋅자세와 주법,[4음01-01],바른 자세와 주법을 익혀 노래 부르거나 악기로 연주한다.,바른 자세와 주법을 충분히 이해하여 자연스럽게 노래 부르거나 악기로 연주한다.,바른 자세와 주법을 이해하여 노래 부르거나 악기로 연주한다.,바른 자세와 주법을 부분적으로 이해하여 노래 부르거나 악기로 연주한다.,
3~4,음악,연주,,"⋅기초적인 음악 요소
⋅느낌, 여러 소리",[4음01-02],기초적인 음악 요소를 살려 노래 부르거나 악기로 연주하고 느낌을 이야기한다.,기초적인 음악 요소를 충분히 이해하여 그 특징을 전체적으로 살려 노래 부르거나 악기로 연주하고 연주를 통해 알게 된 점과 연주에 대한 자신의 느낌을 이야기한다.,기초적인 음악 요소를 이해하여 그 특징을 살려 노래 부르거나 악기로 연주하고 연주에 대한 자신의 느낌을 이야기한다.,기초적인 음악 요소를 부분적으로 이해하여 그 특징을 일부 살려 노래 부르거나 악기로 연주하고 연주에 대한 자신의 느낌을 이야기하려고 노력한다.,"[4음01-02] 이 성취기준은 노래나 악기 연주를 통해 기초적인 음악 요소를 표현하도록 하기 위해 설정하였다. 기초적인 수준의 음악 요소를 익혀 다양한 악곡을 연주하고, 이를 통해 알게 된 점이나 느낌 등을 이야기해 봄으로써 음악 개념과 활동을 의미 있게 연결 짓도록 하는 데 중점을 둔다."
3~4,음악,연주,,,[4음01-03],노래와 악기 연주에 어울리는 신체표현이나 놀이를 하며 음악을 즐긴다.,노래와 악기 연주의 특성을 충분히 이해하여 악곡에 어울리는 신체표현이나 놀이를 하며 적극적인 태도로 음악을 즐긴다.,노래와 악기 연주의 특성을 이해하여 악곡에 어울리는 신체표현이나 놀이를 하며 음악을 즐긴다.,노래와 악기 연주의 특성을 부분적으로 이해하여 신체표현이나 놀이를 하며 음악을 즐기려고 노력한다.,"[4음01-03] 이 성취기준은 다양한 노래나 악기 연주의 특성을 탐색하고 관련지어 자유롭게 신체나 놀이로 표현하도록 하기 위해 설정하였다. 학습자의 발달 단계에 적합한 흥미로운 신체표현을 통해 음악을 즐기고, 음악을 활용하여 전통과 현대의 다양한 놀이를 하도록 함으로써 노래, 연주 등의 음악 활동이 음악 외의 여러 활동과 연결되도록 하는 데 중점을 둔다."
3~4,음악,연주,,⋅생활 속의 음악,[4음01-04],생활 속에서 음악을 경험하며 연주에 관심을 가지고 참여한다.,생활 속의 음악을 충분히 이해하여 음악을 경험하며 연주 활동에 관심을 가지고 적극적으로 참여한다.,생활 속의 음악을 이해하여 음악을 경험하며 연주 활동에 관심을 가지고 참여한다.,생활 속의 음악을 부분적으로 이해하여 음악을 경험하며 연주 활동에 참여하려고 노력한다.,"[4음02-01] 이 성취기준은 감상곡에 포함된 기초적인 음악 요소를 청각적으로 인식하도록 하기 위해 설정하였다. 음악을 들으며 기초적인 수준의 음악 요소를 탐색해 보고, 노래, 악기, 신체, 언어, 그림 등 다양한 방법으로 자신의 반응을 자유롭게 표현하도록 하는 데 중점을 둔다."
3~4,음악,감상,"⋅ 음악은 고유한 방식과 원리에 따라 다양한 속성을 청각적 형태로 구현한 것이다.
⋅ 음악적 수용과 반응은 인간의 감수성과 사회⋅문화적 배경에 따라 다양하게 나타난다.
⋅ 인간은 생활 속에서 다양한 음악 경험을 통해 미적 가치와 의미를 발견하고 공감한다.","⋅기초적인 음악 요소
⋅음악적 특징",[4음02-01],음악을 듣고 기초적인 음악 요소를 탐색하며 반응한다.,음악을 듣고 기초적인 음악 요소를 적극적으로 탐색하며 음악 요소의 특성에 따라 적절하게 반응한다.,음악을 듣고 기초적인 음악 요소를 탐색하며 음악 요소의 특성에 따라 반응한다.,음악을 듣고 기초적인 음악 요소에 대해 반응하려고 노력한다.,[4음02-02] 이 성취기준은 음악의 종류나 주제 등에 따른 음악의 전반적 특징을 발견하며 감상하는 능력을 기르도록 하기 위해 설정하였다. 다양한 음악을 감상하며 음악적 특징을 발표하고 공유하는 활동을 통해 다양한 주제가 감상곡에서 어떤 음악적 특징으로 나타나는지 살펴 청각적 인식과 음악적 이해를 연결 짓도록 하는 데 중점을 둔다.
3~4,음악,감상,,"⋅다양한 종류의 음악
⋅음악적 특징",[4음02-02],다양한 음악을 듣고 음악적 특징을 발견한다.,다양한 음악을 듣고 음악의 종류나 주제에 따른 음악적 특징을 발견하고 종합적으로 연관지어 구체적으로 이야기한다.,다양한 음악을 듣고 음악의 종류나 주제에 따른 음악적 특징을 발견하고 연관지어 이야기한다.,다양한 음악을 듣고 음악의 종류나 주제 등에 따른 음악적 특징을 발견하고 부분적으로 연관지어 이야기한다.,"[4음02-03] 이 성취기준은 다양한 분위기와 쓰임을 가진 음악을 듣고 경험하도록 함으로써 음악을 활용할 수 있는 능력을 기르도록 하기 위해 설정하였다. 악곡과 관련된 느낌과 감정, 분위기나 장면 등을 떠올려 보고, 이를 노래, 악기 연주, 신체표현, 그림, 영상, 글쓰기 등의 방법으로 묘사해 본다. 나아가 놀이, 의식, 노동 등 생활 속에서 다양하게 쓰이는 음악에 관해 이야기해 보며 음악 감상을 통한 경험을 확장하도록 하는 데 중점을 둔다."
3~4,음악,감상,,"⋅다양한 종류의 음악
⋅느낌, 분위기, 쓰임",[4음02-03],다양한 종류의 음악을 듣고 음악의 분위기를 묘사하거나 쓰임을 이야기한다.,다양한 분위기나 쓰임을 가진 여러 종류의 음악을 듣고 주어진 조건에 따라 음악의 분위기를 구체적으로 묘사하거나 쓰임에 대해 정확하게 이야기한다.,다양한 분위기나 쓰임을 가진 여러 종류의 음악을 듣고 주어진 조건에 따라 음악의 분위기를 묘사하거나 쓰임에 대해 이야기한다.,다양한 분위기나 쓰임을 가진 여러 종류의 음악을 듣고 주어진 조건에 따라 음악의 분위기를 간단하게 묘사하거나 쓰임에 대해 이야기하려고 노력한다.,"[4음02-04] 이 성취기준은 일상생활 속에서 호기심을 가지고 다양한 음악을 들으며 친숙함을 느끼도록 하기 위해 설정하였다. 국악, 서양음악, 세계음악, 대중매체에서 접하는 음악 등을 열린 마음으로 수용하고 즐김으로써 음악 감상을 생활화하도록 하는 데 중점을 둔다."
3~4,음악,감상,,"⋅느낌, 분위기, 쓰임",[4음02-04],생활 속에서 음악을 들으며 느낌과 호기심을 갖고 즐긴다.,생활 속에서 호기심을 가지고 다양한 음악을 듣고 음악을 친숙하게 느끼며 적극적으로 즐긴다.,생활 속에서 호기심을 가지고 음악을 듣고 음악을 친숙하게 느끼며 즐긴다.,생활 속에서 음악을 듣고 음악을 느끼며 즐기려고 노력한다.,"[4음02-05] 이 성취기준은 지역에 전승되어 오는 음악 문화유산에 관심을 갖고 찾아 들으며, 생활 속에서 국악을 즐기는 태도를 가질 수 있도록 하기 위해 설정하였다. 타 교과의 지역 학습과 연계하여 지역의 음악 문화유산을 통해 자신이 속한 지역 문화에 대한 이해를 높이고, 지역에 전승되어 오는 음악 문화유산에 호기심을 가지게 함으로써 생활 속에서 국악을 즐기는 태도를 함양하는 데 중점을 둔다."
3~4,음악,감상,,⋅지역의 음악 문화유산,[4음02-05],우리 지역의 음악 문화유산을 찾아 듣고 국악을 즐기는 태도를 갖는다.,우리 지역의 음악 문화유산을 적극적으로 찾아 듣고 음악 문화유산을 충분히 이해하여 국악을 즐기는 태도를 갖는다.,우리 지역의 음악 문화유산을 찾아 듣고 음악 문화유산을 이해하여 국악을 즐기는 태도를 갖는다.,우리 지역의 음악 문화유산을 듣고 음악 문화유산을 부분적으로 이해하여 국악을 즐기는 태도를 가지려 노력한다.,"[4음03-01] 이 성취기준은 주변 경험과 관련된 느낌이나 상상한 바를 음악으로 나타냄으로써 음악적 상상력을 기르도록 하기 위하여 설정하였다. 자신의 느낌이나 상상을 일정한 틀이나 형식에 얽매이지 않고 목소리, 악기, 신체, 물체 등을 활용하여 즉흥적인 소리나 음악으로 표현하는 활동을 하며 자신과 다른 사람의 자유로운 표현을 즐기고 음악에 관한 흥미를 갖도록 하는 데 중점을 둔다."
3~4,음악,창작,"⋅음악은 고유한 방식과 원리에 따라 인간의 무한한 상상과 가능성을 탐구하여 만들어낸 것이다.
⋅개인적 혹은 협력적 음악 창작은 인간의 감수성과 사회⋅문화적 배경에 따라 다양한 과정과 결과물로 나타난다.
⋅인간은 생활 속에서 다양한 매체와 방법을 활용하여 자기 주도적으로 음악을 구성하며 기여한다.","⋅느낌, 상상",[4음03-01],느낌과 상상을 즉흥적으로 표현하며 음악에 대한 흥미를 갖는다.,경험에 관련된 느낌과 상상한 바를 어울리는 소리나 음악으로 즉흥적으로 표현하고 적극적으로 표현 활동하며 음악에 흥미를 갖는다.,경험에 관련된 느낌과 상상한 바를 소리나 음악으로 즉흥적으로 표현하며 음악에 대한 흥미를 갖는다.,"경험에 관련된 느낌과 상상한 바를 소리나 음악으로 즉흥적으로 표현하는 데 관심을 보이며, 음악에 대한 흥미를 가지려고 노력한다.","[4음03-02] 이 성취기준은 노랫말 등 악곡의 일부를 바꾸어 표현하고 음악을 기록하는 다양한 방법에 대해 기초적인 수준에서 이해하도록 하기 위해 설정하였다. 음⋅음표, 그림, 기호, 숫자, 문자 등을 활용하여 악보로 나타내고 창작과 공유의 즐거움을 경험하도록 하는 데 중점을 둔다."
3~4,음악,창작,,⋅간단한 악보,[4음03-02],악곡의 일부를 바꾸어 표현하고 간단한 악보로 나타낸다.,악곡의 특성을 충분히 이해하여 그 일부를 바꾸어 표현하고 음표·기호·숫자 등을 적절히 활용하여 간단한 악보로 나타낸다.,악곡의 특성을 이해하여 그 일부를 바꾸어 표현하고 음표·기호·숫자 등을 활용하여 간단한 악보로 나타낸다.,악곡의 특성을 부분적으로 이해하여 그 일부를 바꾸어 표현하고 음표·기호·숫자 등을 일부 활용하여 간단한 악보로 나타내려고 노력한다.,[4음03-03] 이 성취기준은 음악 요소에 관한 이해를 바탕으로 소리나 음악을 창작하는 기초적인 능력을 기르도록 하기 위해 설정하였다. 기초적인 수준의 음악 요소를 활용하여 짧고 간단한 소리나 음악으로 자유롭게 표현하며 음악 요소에 따른 음악적 효과와 특징을 스스로 인식하도록 하는 데 중점을 둔다.
3~4,음악,창작,,"⋅기초적인 음악 요소
⋅소리와 음악",[4음03-03],기초적인 음악 요소를 활용하여 소리나 음악으로 표현한다.,기초적인 음악 요소를 적절하게 활용하여 음악 요소의 특징이 잘 나타나도록 소리나 음악으로 창의적으로 표현한다.,기초적인 음악 요소를 활용하여 음악 요소의 특징이 나타나도록 소리나 음악으로 표현한다.,기초적인 음악 요소를 활용하여 소리나 음악으로 표현하려고 노력한다.,"[4음03-04] 이 성취기준은 생활 주변의 소리에 민감하게 반응하고 새로운 음악을 만들어가며 즐길 수 있도록 하기 위해 설정하였다. 일상에서 경험할 수 있는 다양한 소리나 장면을 음악의 관점에서 탐색해 보고 이를 모방하여 노래, 악기 연주, 신체표현 등의 다양한 방법으로 나타내도록 한다. 학습자마다 산출해낸 다양한 결과물을 서로 공유하며 새로운 표현과 그 가능성을 즐기도록 하는 데 중점을 둔다."
3~4,음악,창작,,⋅소리와 음악,[4음03-04],생활 주변의 소리나 장면을 모방하며 음악의 새로움을 즐기는 태도를 갖는다.,생활 주변의 소리나 장면의 특징을 살려 실감나게 모방하며 새로운 음악적 표현을 적극적으로 즐기는 태도를 갖는다.,생활 주변의 소리나 장면의 특징을 살려 모방하며 새로운 음악적 표현을 즐기는 태도를 갖는다.,생활 주변의 소리나 장면을 모방하며 새로운 음악적 표현을 즐기려고 노력한다.,
3~4,미술,미적 체험,"⋅미적 체험은 감각을 깨워 미적 감수성을 풍부하게 하며 미적 가치를 발견하도록 한다.
⋅대상과 현상을 관찰하고 지각하는 경험은 앎을 확장하고 자신을 성찰하게 한다. 
⋅이미지에 대한 비판적 이해는 시각적 소통과 문화적 참여의 토대가 된다. ",⋅자신의 감각,[4미01-01],자연물과 인공물을 탐색하는 데 다양한 감각을 활용할 수 있다.,자연물과 인공물을 탐색하는 데 쓰이는 자신의 다양한 감각을 이해하고 적극적으로 활용할 수 있다.,자연물과 인공물을 탐색하는 데 쓰이는 자신의 다양한 감각을 발견하고 활용할 수 있다.,자연물과 인공물을 탐색하는 데 자신의 다양한 감각을 제한적으로 활용할 수 있다.,
3~4,미술,미적 체험,,⋅생활 속 미술,[4미01-02],주변 대상을 체험하며 떠오른 느낌과 생각을 다양한 방법으로 나타낼 수 있다.,주변 대상을 체험하며 떠오른 느낌과 생각을 구체적이고 다양한 방법으로 나타낼 수 있다.,주변 대상을 체험하며 떠오른 느낌과 생각을 다양한 방법으로 나타낼 수 있다.,주변 대상을 체험하며 떠오른 느낌과 생각을 부분적으로 나타낼 수 있다.,
3~4,미술,미적 체험,,⋅대상의 특징,[4미01-03],미적 탐색에 호기심을 갖고 참여하며 자신의 감각으로 대상의 특징을 이해할 수 있다.,미적 탐색에 호기심을 갖고 적극적으로 참여하며 자신의 감각으로 대상의 특징을 이해하고 설명할 수 있다.,미적 탐색에 호기심을 갖고 참여하며 자신의 감각으로 대상의 특징을 이해할 수 있다.,미적 탐색에 관심을 보이며 자신의 감각으로 대상의 특징을 부분적으로 이해할 수 있다.,"[4미01-03] 성취기준은 객관적 지식을 적용하거나 고정 관념에 따라 대상을 이해하는 방식에서 벗어나 몸의 다양한 감각으로 직접 대상을 탐색하는 데 호기심을 갖고 참여하며 자신의 감각을 바탕으로 대상의 특징을 이해하는 데 중점을 둔다. 같은 대상이라도 지각하고 반응하는 방식은 학생마다 다를 수 있다. 대상을 지각하며 자연스럽게 떠올린 자신의 감정, 느낌, 생각 등을 나타내고 친구들의 다양한 반응을 접하며 자신만의 고유한 감각을 통해 대상이 지닌 다채로운 특징을 이해한다."
3~4,미술,미적 체험,,⋅생활 속 미술,[4미01-04],생활 속에서 활용되는 미술에 관심을 가지고 미술의 특징과 역할을 발견할 수 있다.,생활 속에서 활용되는 미술에 지속적인 관심을 가지고 여러 사례를 조사하여 미술의 특징과 역할을 다양하게 발견할 수 있다.,생활 속에서 활용되는 미술에 관심을 가지고 사례를 찾아 미술의 특징과 역할을 발견할 수 있다.,생활 속에서 활용되는 미술에 관심을 보이며 미술의 특징과 역할을 발견하고자 노력한다.,
3~4,미술,표현,"⋅표현은 자신의 느낌과 생각을 시각화하는 창의적 사고와 성찰의 순환 과정으로 이루어진다.
⋅다양한 발상은 아이디어와 주제를 발전시키고 표현의 토대가 된다.
⋅작품 제작은 표현 재료와 방법, 조형 요소와 원리 등을 선택하고 활용하여 창의적으로 문제를 해결하는 과정을 통해 예술적 성취를 경험하게 한다. ",⋅표현 주제,[4미02-01],관찰과 상상으로 아이디어를 떠올려 표현 주제를 구체화할 수 있다.,관찰과 상상으로 다양한 아이디어를 떠올려 표현 주제를 구체화할 수 있다.,관찰과 상상으로 아이디어를 떠올려 표현 주제를 구체화할 수 있다.,관찰과 상상으로 아이디어를 떠올려 표현 주제를 나타낼 수 있다.,
3~4,미술,표현,,⋅기본적인 표현 재료와 용구,[4미02-02],기본적인 표현 재료와 용구의 특성을 이해하고 사용 방법을 익힐 수 있다.,기본적인 표현 재료와 용구의 특성을 이해하고 설명하며 적절한 사용 방법을 익힐 수 있다.,기본적인 표현 재료와 용구의 특성을 이해하고 사용 방법을 익힐 수 있다.,기본적인 표현 재료와 용구의 특성을 부분적으로 이해하고 사용 방법을 익히고자 노력한다.,"[4미02-02] 성취기준은 기본적인 표현 재료의 물성을 경험하고 표현 용구의 사용법을 충분히 익히는 활동에 중점을 둔다. 표현 재료와 용구는 단순히 표현 수단을 넘어 그 자체로서 학생들에게 새로운 느낌과 생각을 가지게 한다. 초등학교 3~4학년 수준에서 다룰 수 있는 기본적인 표현 재료에는 종이류(도화지, 색종이, 한지 등), 드로잉 재료(연필, 펜 등), 채색 재료(크레파스, 파스텔, 수채화물감, 아크릴물감, 먹 등), 조소 재료(찰흙, 종이죽, 공예용 철사 등)가 있으며 그 밖에 생활 속에서 익숙하게 다루고 있는 다양한 생활용품 및 디지털 매체를 활용할 수 있다."
3~4,미술,표현,,⋅조형 요소의 특징,[4미02-03],조형 요소의 특징을 자유롭게 탐색하며 주제 표현에 알맞게 활용할 수 있다.,"조형 요소의 다양한 특징을 자유롭게 탐색하여 이해하고 설명하며, 주제 표현에 적합한 조형 요소를 찾아 알맞게 활용할 수 있다.",조형 요소의 특징을 자유롭게 탐색하여 이해하고 주제 표현에 알맞게 활용할 수 있다.,조형 요소의 일부 특징을 알고 주제 표현에 활용하려고 시도할 수 있다.,"[4미02-03] 성취기준은 미술 표현에 기초가 되는 조형 요소의 특징을 탐색하고 표현 주제와 연결 지어 조형 요소를 활용하는 데 중점을 둔다. 조형 요소에는 선, 형과 형태, 색, 질감, 양감 등이 있다. 각 조형 요소를 탐색하여 시각적 특징을 발견하고 표현하고자 하는 주제와 어울리는 조형 요소를 찾아 주제 표현에 활용한다."
